
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    127.0.0.1:16062        0.0.0.0:0              LISTENING       1692
  TCP    127.0.0.1:16063        0.0.0.0:0              LISTENING       1692
  TCP    127.0.0.1:20712        0.0.0.0:0              LISTENING       5008
  TCP    192.168.199.185:139    0.0.0.0:0              LISTENING       4
  TCP    192.168.199.185:3070   121.199.52.89:22       ESTABLISHED     6036
  TCP    192.168.199.185:4825   192.168.199.45:3306    ESTABLISHED     4024
  TCP    192.168.199.185:4857   192.168.199.45:3306    ESTABLISHED     4024
  TCP    192.168.199.185:4920   192.168.199.45:3306    ESTABLISHED     4024
  TCP    192.168.199.185:4921   192.168.199.45:3306    ESTABLISHED     4024
  TCP    192.168.199.185:4923   192.168.199.45:3306    ESTABLISHED     4024
  TCP    192.168.199.185:4996   192.168.199.45:3306    ESTABLISHED     4024
  TCP    192.168.199.185:9617   192.168.199.99:135     TIME_WAIT       0
  TCP    192.168.199.185:11679  198.41.30.200:443      CLOSE_WAIT      1108
  TCP    192.168.199.185:12391  198.41.30.198:443      CLOSE_WAIT      1108
  TCP    192.168.199.185:12584  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:12587  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:12588  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:12589  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:12590  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:12591  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:12592  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:12593  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:12594  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:12595  192.168.199.45:3306    ESTABLISHED     2716
  TCP    192.168.199.185:13035  121.199.52.89:3306     ESTABLISHED     4024
  TCP    192.168.199.185:13134  172.217.20.67:443      FIN_WAIT_1      5136
  TCP    192.168.199.185:13184  121.199.52.89:22       ESTABLISHED     5584
  TCP    192.168.199.185:13291  203.208.40.154:80      ESTABLISHED     5136
  TCP    192.168.199.185:13292  203.208.40.154:80      ESTABLISHED     5136
  TCP    192.168.199.185:13293  203.208.40.154:80      ESTABLISHED     5136
  TCP    192.168.199.185:13294  203.208.40.154:80      ESTABLISHED     5136
  TCP    192.168.199.185:13295  203.208.40.154:80      ESTABLISHED     5136
  TCP    192.168.199.185:13419  192.168.199.185:13420  ESTABLISHED     117692
  TCP    192.168.199.185:13420  192.168.199.185:13419  ESTABLISHED     129460
  TCP    192.168.199.185:13435  192.168.199.185:13640  ESTABLISHED     125616
  TCP    192.168.199.185:13436  192.168.199.185:13435  TIME_WAIT       0
  TCP    192.168.199.185:13459  180.97.104.211:443     CLOSE_WAIT      2724
  TCP    192.168.199.185:13585  58.211.85.38:80        CLOSE_WAIT      2452
  TCP    192.168.199.185:13607  192.168.199.99:139     TIME_WAIT       0
  TCP    192.168.199.185:13640  192.168.199.185:13435  ESTABLISHED     129460
  TCP    192.168.199.185:13710  216.58.201.163:443     ESTABLISHED     5136
  TCP    192.168.199.185:13723  192.168.199.185:13419  TIME_WAIT       0
  TCP    192.168.199.185:13739  192.168.199.185:13435  TIME_WAIT       0
  TCP    192.168.199.185:13785  192.168.199.99:135     ESTABLISHED     1528
  TCP    192.168.199.185:13808  192.168.199.185:13419  TIME_WAIT       0
  TCP    192.168.199.185:13817  23.62.109.19:80        ESTABLISHED     1220
  TCP    192.168.199.185:13832  180.149.131.35:80      CLOSE_WAIT      5136
  TCP    192.168.199.185:13833  180.149.131.35:80      CLOSE_WAIT      5136
  TCP    192.168.199.185:13834  180.149.131.35:80      CLOSE_WAIT      5136
  TCP    192.168.199.185:13835  180.149.131.35:80      CLOSE_WAIT      5136
  TCP    192.168.199.185:13836  180.149.131.35:80      CLOSE_WAIT      5136
  TCP    192.168.199.185:13837  180.149.131.35:80      CLOSE_WAIT      5136
  TCP    192.168.199.185:13838  74.125.204.101:443     SYN_SENT        5136
  TCP    192.168.199.185:13839  74.125.204.101:443     SYN_SENT        5136
  TCP    192.168.199.185:13874  203.208.41.39:443      SYN_SENT        5136
  TCP    192.168.199.185:13875  203.208.41.39:443      SYN_SENT        5136
  TCP    192.168.199.185:13880  74.125.204.138:443     SYN_SENT        5136
  TCP    192.168.199.185:13985  192.168.199.45:22      ESTABLISHED     5584
  TCP    [::]:80                [::]:0                 LISTENING       125616
  TCP    [::]:135               [::]:0                 LISTENING       1008
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1025              [::]:0                 LISTENING       680
  TCP    [::]:1026              [::]:0                 LISTENING       568
  TCP    [::]:1027              [::]:0                 LISTENING       708
  TCP    [::]:1028              [::]:0                 LISTENING       764
  TCP    [::]:1030              [::]:0                 LISTENING       752
  TCP    [::]:1031              [::]:0                 LISTENING       1472
  TCP    [::]:6661              [::]:0                 LISTENING       125616
  TCP    [::]:6662              [::]:0                 LISTENING       125616
  TCP    [::]:6663              [::]:0                 LISTENING       125616
  TCP    [::]:8009              [::]:0                 LISTENING       2716
  TCP    [::]:8080              [::]:0                 LISTENING       2716
  TCP    [::]:13419             [::]:0                 LISTENING       117692
  TCP    [::]:13435             [::]:0                 LISTENING       125616
  TCP    [::1]:13893            [::1]:9229             SYN_SENT        5136
  TCP    [::1]:13894            [::1]:9229             SYN_SENT        5136
  UDP    0.0.0.0:500            *:*                                    708
  UDP    0.0.0.0:4009           *:*                                    2452
  UDP    0.0.0.0:4500           *:*                                    708
  UDP    0.0.0.0:5353           *:*                                    5136
  UDP    0.0.0.0:5353           *:*                                    5136
  UDP    0.0.0.0:5355           *:*                                    1220
  UDP    0.0.0.0:43333          *:*                                    2724
  UDP    0.0.0.0:58271          *:*                                    2452
  UDP    0.0.0.0:59014          *:*                                    2452
  UDP    0.0.0.0:59981          *:*                                    2076
  UDP    0.0.0.0:60527          *:*                                    2452
  UDP    0.0.0.0:60528          *:*                                    2452
  UDP    0.0.0.0:60529          *:*                                    2452
  UDP    0.0.0.0:63772          *:*                                    2452
  UDP    127.0.0.1:1900         *:*                                    3196
  UDP    127.0.0.1:50876        *:*                                    5008
  UDP    127.0.0.1:58507        *:*                                    3196
  UDP    127.0.0.1:62722        *:*                                    2452
  UDP    192.168.199.185:137    *:*                                    4
  UDP    192.168.199.185:138    *:*                                    4
  UDP    192.168.199.185:1900   *:*                                    3196
  UDP    192.168.199.185:58506  *:*                                    3196
  UDP    [::]:500               *:*                                    708
  UDP    [::]:4500              *:*                                    708
  UDP    [::]:5353              *:*                                    5136
  UDP    [::]:5355              *:*                                    1220
  UDP    [::1]:1900             *:*                                    3196
  UDP    [::1]:58505            *:*                                    3196
  UDP    [fe80::9cf5:b964:afd9:d958%12]:1900  *:*                                    3196
  UDP    [fe80::9cf5:b964:afd9:d958%12]:58504  *:*                                    3196
